k_invA,chi
8.000000000000000000e+00,4.461885557993468254e-02
8.050000000000000711e+00,5.754652872611555788e-03
8.099999999999999645e+00,-2.946846397612917084e-02
8.150000000000000355e+00,-5.526442686695216822e-02
8.200000000000001066e+00,-7.012628941511990510e-02
8.250000000000000000e+00,-7.564944649105254104e-02
8.300000000000000711e+00,-6.989951621890076738e-02
8.349999999999999645e+00,-5.431085346459198909e-02
8.400000000000000355e+00,-4.446387134392171259e-02
8.450000000000001066e+00,-4.310047446712723246e-02
8.500000000000000000e+00,-3.850120724895270130e-02
8.550000000000000711e+00,-3.376517017000796317e-02
8.599999999999999645e+00,-2.998425960522865460e-02
8.650000000000000355e+00,-2.026310082467483453e-02
8.700000000000001066e+00,-4.498224521834394592e-03
8.750000000000000000e+00,8.987439431614835730e-03
8.800000000000000711e+00,1.863285656850959676e-02
8.849999999999999645e+00,2.412089294683505622e-02
8.900000000000000355e+00,2.612166681614124311e-02
8.950000000000001066e+00,2.803586985827050473e-02
9.000000000000000000e+00,3.464747092285964253e-02
9.050000000000000711e+00,4.289607479823663583e-02
9.099999999999999645e+00,5.314447104929514998e-02
9.150000000000000355e+00,5.958789735708477225e-02
9.200000000000001066e+00,4.948731811423519311e-02
9.250000000000000000e+00,3.116041689945146104e-02
9.300000000000000711e+00,1.389093607130236288e-02
9.349999999999999645e+00,-5.057193244468100903e-03
9.400000000000000355e+00,-2.049712790328228618e-02
9.450000000000001066e+00,-2.504538933608493195e-02
9.500000000000000000e+00,-1.909296256474751069e-02
9.550000000000000711e+00,-8.663046153771600255e-03
9.600000000000001421e+00,-2.743964455949100302e-03
9.650000000000000355e+00,-9.356673719421296220e-03
9.700000000000001066e+00,-2.605535484806967630e-02
9.750000000000000000e+00,-4.451220797940173834e-02
9.800000000000000711e+00,-4.752001747080599608e-02
9.850000000000001421e+00,-3.357884609035070855e-02
9.900000000000000355e+00,-2.379347353305127227e-02
9.950000000000001066e+00,-2.155185506187728625e-02
1.000000000000000000e+01,-1.383885490554124208e-02
1.005000000000000071e+01,-5.598168277136302343e-03
1.010000000000000142e+01,-5.021989879311416572e-04
1.015000000000000036e+01,5.173611781063453333e-03
1.020000000000000107e+01,1.086367290752408496e-02
1.025000000000000000e+01,1.599266080135174420e-02
1.030000000000000071e+01,2.106421295580838959e-02
1.035000000000000142e+01,2.456463587674573290e-02
1.040000000000000036e+01,2.730701075872450992e-02
1.045000000000000107e+01,2.989772201116406430e-02
1.050000000000000000e+01,3.181256173671249965e-02
1.055000000000000071e+01,3.054769289681805514e-02
1.060000000000000142e+01,2.321975604962850381e-02
1.065000000000000036e+01,9.828395010962814177e-03
1.070000000000000107e+01,-5.539307858838704406e-03
1.075000000000000000e+01,-1.608092660212090755e-02
1.080000000000000071e+01,-1.764691449122425537e-02
1.085000000000000142e+01,-1.425985267452492544e-02
1.090000000000000036e+01,-7.381032074248008827e-03
1.095000000000000107e+01,4.293473628595902559e-04
1.100000000000000000e+01,4.282669040802879537e-03
1.105000000000000071e+01,3.250798738714955581e-03
1.110000000000000142e+01,-2.892686436765815571e-03
1.115000000000000036e+01,-1.376608078388357262e-02
1.120000000000000107e+01,-2.100807591374632272e-02
1.125000000000000000e+01,-1.845022309819356263e-02
1.130000000000000071e+01,-1.379160356870727348e-02
1.135000000000000142e+01,-1.523113542816813964e-02
1.140000000000000036e+01,-1.809359638673378387e-02
1.145000000000000107e+01,-1.774741481673585558e-02
1.150000000000000000e+01,-1.475326038419640974e-02
1.155000000000000071e+01,-7.892696516196220577e-03
1.160000000000000142e+01,2.441103781926195202e-04
1.165000000000000036e+01,7.724322003257609939e-03
