energy_eV,mu
10432.01,1.26395
10439.5,1.26024
10446.94,1.25656
10454.4,1.25297
10461.92,1.24931
10469.52,1.24574
10477.01,1.24215
10484.56,1.23863
10492.13,1.23449
10499.71,1.23064
10507.36,1.22719
10514.97,1.22323
10522.64,1.2195
10530.33,1.21555
10538.02,1.21213
10545.73,1.20843
10553.45,1.20443
10561.24,1.20079
10568.99,1.19711
10576.8,1.1934
10584.57,1.18957
10592.41,1.18574
10600.26,1.18224
10608.12,1.17852
10616.06,1.17475
10623.94,1.17095
10631.84,1.16698
10639.81,1.16332
10647.73,1.15959
10655.73,1.15612
10663.74,1.15233
10671.76,1.14822
10679.79,1.14489
10687.84,1.14103
10695.89,1.1371
10704.09,1.13381
10712.11,1.12982
10720.26,1.1259
10728.5,1.12199
10736.62,1.11837
10744.75,1.11495
10752.96,1.1111
10761.24,1.10721
10769.47,1.10344
10777.72,1.09959
10786.04,1.09586
10794.31,1.09214
10802.66,1.08862
10810.96,1.08491
10819.33,1.08107
10827.72,1.07721
10836.12,1.07373
10844.53,1.07013
10852.96,1.0662
10861.47,1.06271
10869.92,1.05885
10878.39,1.05511
10887.0,1.05154
10895.49,1.048
10904.0,1.0442
10912.59,1.04036
10921.19,1.03689
10929.87,1.03316
10938.43,1.02948
10947.07,1.02593
10955.79,1.022
10964.39,1.01856
10973.14,1.0149
10981.84,1.01161
10990.55,1.00781
10999.34,1.00427
11008.15,1.00047
11016.9,0.99706
11025.74,0.99355
11034.58,0.98978
11043.45,0.98632
11052.33,0.98292
11061.22,0.97918
11070.12,0.9756
11079.04,0.9718
11087.98,0.96854
11097.0,0.96481
11105.96,0.96116
11115.01,0.95753
11124.0,0.95372
11133.08,0.94999
11142.11,0.9463
11151.28,0.94253
11160.34,0.93917
11169.41,0.93544
11178.56,0.93202
11187.79,0.92826
11196.91,0.92498
11206.11,0.92104
11215.39,0.91733
11224.55,0.91391
11233.86,0.90996
11243.12,0.90648
11252.47,0.90293
11261.69,0.89946
11271.06,0.89589
11280.39,0.89222
11289.79,0.88874
11299.15,0.88515
11308.59,0.88176
11318.04,0.87797
11327.51,0.87456
11337.0,0.87115
11346.44,0.86781
11355.96,0.864
11365.49,0.86064
